age,mileage,engine_size,horsepower,fuel_type,transmission_type,number_of_doors,brand_reputation_score,accident_history,fuel_efficiency,price
5,142448,2,193,2,0,4,2,1,33,24082
16,444502,4,395,0,0,3,5,1,25,10235
22,673293,4,500,0,1,3,3,5,18,1000
6,145704,4,445,0,0,3,4,4,21,34406
6,173080,4,455,2,1,4,1,1,19,34154
2,41248,2,231,2,1,2,9,5,32,44740
26,718659,1,136,0,1,4,4,3,34,1000
11,213448,1,219,2,0,5,7,5,32,15745
27,503131,5,500,0,1,2,6,3,16,1000
13,378985,4,423,0,1,5,2,0,20,13851
34,983568,5,500,2,1,3,7,2,15,1000
31,594577,3,333,0,0,2,3,2,22,1000
33,674470,2,248,1,0,2,6,1,29,1000
8,276697,4,471,2,1,4,9,3,18,40078
0,0,2,203,1,0,5,9,2,28,48917
16,414038,2,295,2,0,3,3,2,30,1000
31,599876,5,500,1,1,3,5,4,13,1000
30,841958,2,316,2,0,4,4,2,28,1000
5,80755,1,198,2,0,2,6,5,31,26864
14,258849,4,471,0,1,4,6,4,14,21200
7,168345,5,483,0,1,3,5,0,13,43079
20,195277,2,190,2,0,5,6,2,31,5585
11,407865,3,324,1,1,3,3,4,22,6262
17,419050,4,414,0,1,5,4,5,20,1169
23,623876,3,339,0,1,5,5,3,26,1000
0,0,3,376,0,0,5,5,0,23,53816
33,774581,2,247,2,1,5,6,3,31,1000
8,174777,4,471,0,1,3,3,5,21,27129
12,287891,3,357,0,1,2,4,5,23,11178
0,0,4,500,1,1,3,4,2,20,57867
9,205217,3,328,1,0,4,6,4,23,24563
25,727348,1,168,1,0,4,2,2,33,1000
29,381540,5,494,2,1,3,2,3,17,1000
11,393373,1,157,2,1,2,6,3,30,5600
9,257016,4,393,2,0,3,4,0,22,29990
11,277966,3,317,1,1,3,4,0,28,20256
5,98003,3,388,2,0,2,4,3,23,38389
3,101110,4,462,2,0,3,7,1,19,55840
23,573294,2,247,1,0,2,3,5,29,1000
19,454621,2,265,0,0,2,7,0,34,1000
22,698793,2,198,0,1,3,6,2,30,1000
34,908500,2,286,1,0,4,3,3,26,1000
32,831941,4,429,1,0,5,2,2,21,1000
19,512062,1,145,0,1,5,7,0,33,1000
27,883742,3,348,0,1,4,3,5,23,1000
22,255483,3,395,2,1,5,5,1,24,10481
8,201829,3,361,2,0,4,5,4,22,27456
27,788544,4,408,0,0,3,2,1,20,1000
34,1024848,4,428,1,1,4,5,2,16,1000
15,338543,2,249,0,0,3,6,0,28,9061
33,552961,1,125,1,1,2,4,4,33,1000
34,807053,1,157,2,1,2,5,1,36,1000
24,362439,3,403,2,0,5,4,2,25,1000
29,817195,3,302,2,0,4,5,0,25,1000
29,980983,1,129,0,1,2,3,5,33,1000
28,653437,2,224,2,1,3,9,1,28,1000
33,581385,3,336,1,0,5,2,3,24,1000
1,22960,2,321,0,0,5,3,5,29,37994
19,410006,5,500,1,0,3,4,5,16,4581
29,624684,2,269,1,1,4,3,3,32,1000
27,673714,3,309,2,1,3,6,0,25,1000
29,789268,5,500,0,1,3,6,2,17,1000
2,75719,2,182,0,1,5,5,0,33,38252
26,542570,1,204,2,1,5,7,1,33,1000
0,0,3,322,2,1,5,6,3,25,53046
12,261046,5,488,0,1,4,3,2,17,24530
34,742638,5,500,2,1,2,7,1,17,1000
3,79692,3,254,1,1,4,0,0,30,32212
8,307554,5,500,2,1,4,10,5,13,40180
32,855987,3,301,0,1,3,6,1,25,1000
2,37928,2,256,0,0,2,5,1,30,41302
34,993269,4,471,0,0,3,6,4,21,1000
26,766460,3,343,1,0,4,5,5,23,1000
18,483698,1,165,1,0,5,8,4,31,1000
11,331557,3,371,1,0,4,9,4,23,22574
28,656040,2,217,2,1,3,5,2,28,1000
22,582338,2,218,1,0,5,4,3,30,1000
31,938215,1,222,0,1,2,1,1,32,1000
4,87379,3,319,1,0,4,1,1,25,31877
27,528390,3,309,1,0,3,10,1,25,1000
29,496572,4,486,2,1,4,4,5,17,1000
33,1359517,1,132,2,1,3,9,1,36,1000
20,405794,2,225,1,1,5,4,4,31,1000
12,434118,1,186,1,1,2,8,3,33,5338
32,696343,2,257,2,1,2,4,3,30,1000
32,934299,2,335,1,0,2,4,3,23,1000
31,591869,4,428,0,1,4,8,0,22,1000
31,730565,5,500,1,1,2,7,1,13,1000
17,309673,3,392,0,0,2,4,0,25,11425
25,591413,3,394,1,1,2,6,1,23,1000
18,495956,4,414,1,0,4,6,0,20,7807
23,807903,4,474,2,0,2,4,5,17,1000
27,779901,3,438,1,0,4,6,1,22,1000
34,1084878,1,183,0,0,5,6,1,33,1000
19,748171,4,364,1,1,2,1,2,22,1000
0,0,1,206,2,1,3,2,1,34,38151
20,490059,2,261,0,1,4,9,2,30,1000
6,91367,2,272,0,1,4,3,3,29,27684
34,179103,4,470,0,1,2,5,3,15,1000
20,196288,4,450,2,0,5,2,5,19,8396
10,276657,3,380,1,0,5,4,5,21,16769
1,18490,1,169,1,0,5,1,2,33,29669
15,415649,3,387,1,1,4,8,3,24,15319
0,0,2,196,0,1,3,2,1,31,38081
6,110214,2,232,2,1,4,2,3,31,25196
24,698205,3,341,2,0,5,5,1,24,1000
21,573866,3,424,1,0,3,8,3,20,1000
15,430128,3,290,1,1,4,7,5,26,3918
29,921194,5,500,0,1,3,5,5,16,1000
7,267846,2,241,2,0,4,4,0,27,22137
10,217252,3,366,1,0,4,6,0,24,32235
29,539384,4,441,1,0,2,4,3,20,1000
31,728613,4,459,1,0,3,5,4,23,1000
7,190917,1,136,0,1,5,2,4,35,9226
17,427010,3,312,2,1,5,4,2,28,2964
22,613173,4,423,1,1,5,1,3,21,1000
2,37126,3,351,0,1,2,6,2,22,47633
19,930690,3,390,2,0,5,2,4,18,1000
7,225812,2,209,2,0,3,5,3,30,21805
26,803930,2,215,1,1,3,6,1,30,1000
11,219185,1,201,0,1,3,8,5,32,16470
18,293225,1,189,1,1,4,4,2,31,1000
9,148188,4,460,0,1,2,8,1,17,43154
34,770679,4,420,2,0,5,4,4,17,1000
13,377055,4,382,2,1,2,10,4,17,23516
23,631296,4,500,1,0,2,4,5,20,1000
30,670263,2,197,2,0,4,3,1,30,1000
15,192346,5,500,2,1,3,6,5,17,28787
25,334290,5,500,2,0,2,4,5,14,1067
25,839394,4,461,1,0,4,6,1,19,1000
8,192408,5,500,2,0,2,2,0,16,36443
33,687065,3,340,2,1,2,6,0,26,1000
4,120066,3,357,1,1,2,5,5,25,36933
12,278579,3,351,0,0,5,6,3,25,19308
7,150396,2,277,0,1,3,5,4,30,24667
24,899089,5,500,2,0,2,5,1,12,1000
22,342098,2,215,0,0,5,7,4,31,1000
26,540973,3,371,1,0,4,2,0,25,1000
21,594873,3,357,0,0,4,6,5,26,1000
23,730140,1,141,1,0,5,3,0,36,1000
0,0,2,242,0,1,5,2,2,33,38913
18,479976,5,500,0,1,2,5,0,17,12962
17,224936,1,172,0,0,3,2,4,33,1000
15,239200,4,499,0,1,2,4,2,18,22512
5,119256,2,241,2,1,2,6,3,29,34245
11,223964,4,466,0,0,2,6,1,17,32147
20,438684,3,343,1,0,5,8,2,22,3624
28,373011,4,429,0,1,3,6,4,25,1000
17,359209,1,175,2,0,5,3,0,37,1000
6,131899,1,169,1,1,2,9,5,33,28487
8,235817,3,364,2,1,5,5,0,26,32720
19,452978,4,495,0,1,4,6,4,11,5910
22,503096,5,500,1,0,5,3,1,13,1000
21,649996,2,223,2,1,5,4,3,30,1000
22,676491,5,500,0,0,2,6,2,17,1000
14,194586,3,298,2,0,3,6,1,27,21507
33,1359454,4,413,2,1,2,4,5,18,1000
5,129541,4,500,1,0,4,1,4,17,35320
24,423454,2,252,1,0,4,8,3,29,1000
3,52573,3,449,0,0,5,5,0,24,50456
10,229125,3,406,1,0,3,8,4,21,30892
15,537793,4,439,0,1,2,3,4,18,1000
22,387189,5,468,2,0,3,4,5,12,1000
21,685922,4,500,0,1,2,5,1,16,1000
34,962542,5,500,2,0,4,7,2,13,1000
17,259734,4,491,2,0,5,2,2,22,15530
27,547725,2,223,2,1,3,7,5,27,1000
9,223418,3,368,1,0,5,6,1,25,30198
7,238363,4,462,1,1,5,5,1,20,35753
20,334534,3,394,2,1,3,2,2,25,3142
26,553751,2,243,1,1,3,5,1,28,1000
4,51396,4,482,0,0,2,1,1,20,43452
11,369907,5,500,1,0,4,5,1,14,27375
12,271693,3,314,2,0,2,1,2,23,9576
10,168161,3,390,1,1,5,5,1,21,31275
1,34479,1,176,1,1,4,2,1,32,33376
10,0,3,382,1,1,4,2,5,24,27388
9,291201,3,310,0,1,3,5,1,23,21421
4,117482,3,317,2,1,4,2,4,23,30701
17,352101,3,360,1,1,5,4,1,25,7615
34,1025884,2,216,1,0,3,6,0,33,1000
9,275303,4,409,1,1,2,2,3,18,19270
28,872262,2,319,0,1,3,5,4,22,1000
25,720289,5,500,0,0,3,1,4,18,1000
3,63287,2,228,2,0,5,4,0,30,38449
10,232032,2,245,2,1,5,5,5,30,17294
6,119109,2,318,1,0,5,5,2,24,33522
33,1415644,2,238,0,1,4,6,3,26,1000
23,518932,5,500,1,1,2,6,5,15,1000
13,217895,2,261,0,1,3,7,5,29,13120
26,836973,4,415,0,1,4,7,5,19,1000
5,83910,3,385,1,0,2,4,2,23,40077
15,439696,1,129,1,1,3,3,1,36,1000
28,673150,3,356,0,1,5,6,4,27,1000
27,1048286,5,500,0,0,5,7,1,16,1000
17,293494,2,310,0,0,3,4,2,27,5400
29,1036087,4,476,2,0,4,3,2,19,1000
13,311306,2,228,0,1,2,4,0,31,9843
1,31118,4,466,2,1,5,2,2,21,50247
6,153896,1,208,0,0,4,7,4,31,24774
29,740356,2,261,1,1,5,1,1,30,1000
16,232082,3,283,0,0,3,3,5,26,2533
4,107886,2,282,0,0,2,4,4,29,30564
7,170676,5,500,2,1,5,7,0,16,51043
24,526329,2,245,0,1,4,8,2,29,1000
11,387192,4,464,1,1,2,4,2,22,20675
21,467482,2,234,1,0,4,4,3,33,1000
21,740625,4,467,2,1,4,7,3,20,1000
31,882249,4,473,2,1,2,4,1,20,1000
25,570098,3,383,0,0,4,5,5,24,1000
26,781654,2,211,1,0,3,10,0,29,1000
20,710517,2,308,1,0,5,5,2,31,1000
2,81563,2,228,0,0,2,5,5,31,31504
10,256258,4,463,0,1,2,9,1,16,38527
33,852853,4,444,0,1,2,4,4,19,1000
13,346090,1,216,2,0,3,4,4,33,2137
18,482790,3,332,1,1,4,3,5,28,1000
12,389460,1,127,0,1,4,5,0,35,3986
4,116471,3,309,2,1,2,4,5,25,33168
23,609206,3,391,0,1,4,5,5,20,1000
14,263938,3,346,1,1,2,7,5,25,15973
9,67442,4,480,0,0,5,5,1,19,40377
7,228030,1,247,0,0,5,6,1,33,25147
17,388210,2,216,0,0,5,7,1,32,2156
31,445947,4,500,2,0,2,6,1,15,1000
5,211276,2,328,2,0,2,7,1,25,37396
26,420966,2,193,2,1,3,4,0,32,1000
7,167390,3,395,2,0,4,0,2,23,26857
30,772150,5,500,1,0,5,4,3,16,1000
27,590513,5,500,2,0,5,4,3,15,1000
31,1066200,4,416,2,0,4,8,1,18,1000
15,662030,3,315,1,0,5,9,5,24,1000
23,512536,5,500,1,1,5,5,1,13,2642
29,611005,4,405,1,0,5,2,0,22,1000
28,664782,2,204,1,1,3,5,5,30,1000
23,501872,2,212,1,0,2,7,5,27,1000
10,0,1,153,1,0,4,4,5,35,19119
20,295115,2,238,0,1,5,6,3,29,1000
3,125083,4,458,0,0,3,6,1,18,49280
0,0,5,500,1,1,5,7,2,17,66012
26,733806,2,266,1,0,5,5,0,31,1000
26,490189,3,280,1,0,4,4,4,27,1000
13,375933,2,284,1,0,5,7,0,29,15777
28,876218,4,467,1,0,3,7,2,15,1000
27,805968,4,461,0,0,3,2,5,19,1000
15,385666,2,235,1,1,3,2,2,32,1000
14,448211,3,326,0,0,3,3,5,24,1000
9,395510,3,313,2,0,2,2,1,26,11659
32,1050924,1,139,1,0,3,7,1,29,1000
7,149227,3,253,1,0,4,1,4,28,18051
6,158454,3,361,2,0,5,8,1,20,44116
7,100253,5,500,2,0,2,6,3,15,46919
32,957563,1,137,0,0,5,5,1,35,1000
23,474791,4,456,2,1,4,1,5,16,1000
7,189828,1,138,1,1,3,7,0,31,26384
29,867520,3,270,0,1,4,0,2,28,1000
9,226844,5,500,1,1,3,5,0,16,40228
12,245482,1,191,2,0,4,2,2,30,6302
15,180960,1,205,2,0,4,4,1,33,11478
2,49728,3,332,0,1,3,3,4,24,36579
27,697849,4,429,1,1,4,4,4,17,1000
1,31228,3,328,1,1,5,8,4,21,49809
21,662097,1,142,1,1,5,4,0,32,1000
13,263920,4,500,1,1,2,4,0,17,28066
26,536505,1,220,1,1,4,7,2,33,1000
30,644947,4,467,0,1,5,7,4,20,1000
11,400920,1,226,1,1,2,5,4,33,4831
26,489452,3,280,2,0,2,5,2,30,1000
1,22017,3,405,1,1,2,6,3,22,52816
6,126223,1,112,2,0,2,2,2,36,16764
9,313947,3,321,2,1,5,3,2,21,17844
2,54807,2,292,1,1,5,4,0,30,41404
23,558768,2,267,2,0,2,4,5,26,1000
10,306358,3,422,2,0,4,1,5,17,13139
4,116731,5,500,0,1,5,6,3,15,48633
23,649890,4,423,2,1,5,4,1,21,1000
20,572526,2,251,1,1,2,3,0,28,1000
24,678427,2,222,1,0,5,5,3,33,1000
0,0,4,482,1,1,5,3,3,20,55355
30,421320,2,269,0,0,5,9,2,29,1000
27,830880,4,443,2,1,3,6,2,15,1000
7,127886,3,312,1,1,5,6,0,22,36847
12,198206,4,432,2,0,3,9,0,22,40566
24,900847,2,308,0,0,5,5,0,27,1000
32,979327,1,161,2,1,4,7,1,33,1000
28,546604,2,221,2,0,2,5,1,31,1000
13,161105,5,478,2,0,2,7,3,19,37217
26,571588,3,408,0,0,4,4,2,21,1000
27,722985,3,335,1,1,5,4,1,20,1000
30,613270,1,195,2,1,3,5,0,31,1000
22,604679,4,431,2,0,2,7,1,21,1000
14,410316,2,237,0,0,5,7,4,28,1000
21,734248,2,227,1,0,3,4,5,27,1000
17,400606,3,312,0,1,3,9,5,25,5919
32,416411,2,199,0,0,4,2,2,31,1000
31,436466,2,248,2,0,5,3,5,27,1000
9,248356,5,487,2,0,2,5,3,18,33924
13,359504,4,456,1,0,4,6,2,21,20655
9,350996,4,488,0,0,3,1,1,18,20106
10,203127,2,240,1,0,2,7,0,27,27543
15,468746,3,337,0,1,3,5,2,27,2828
23,497145,4,452,2,1,2,4,0,15,1000
17,537322,2,191,0,1,4,5,4,30,1000
24,861169,5,500,2,1,4,6,4,12,1000
12,366804,5,500,2,1,3,8,2,15,32492
32,686623,3,389,2,0,4,0,5,25,1000
5,173063,4,432,2,0,2,3,5,23,31877
7,197843,4,474,1,0,5,0,2,16,26795
25,414998,2,279,1,1,3,3,2,27,1000
27,813949,2,243,2,1,5,8,4,28,1000
6,51512,2,271,0,1,5,6,0,27,38647
13,470871,3,420,0,1,3,6,0,22,14810
17,255462,2,227,1,0,3,3,3,26,1000
11,269250,1,200,1,1,4,8,0,33,21209
1,29258,4,500,2,0,4,2,2,18,52615
31,348096,1,185,2,0,2,3,1,34,1000
3,103867,1,209,1,0,4,4,5,31,25759
21,678338,3,412,1,0,5,9,0,21,1000
2,63665,2,248,2,1,3,6,2,32,42403
13,203129,3,365,1,0,3,5,2,22,23669
19,468629,2,326,2,0,4,6,5,28,1000
7,182502,4,448,0,0,5,4,0,18,35569
3,64581,1,188,2,0,5,3,3,38,30164
23,69083,3,353,0,0,4,6,4,27,10427
32,594728,4,490,0,0,5,4,5,21,1000
23,735831,4,485,0,1,4,0,2,17,1000
7,204703,4,421,1,1,5,5,1,20,36004
16,370337,2,259,0,1,4,6,1,28,6085
5,184204,1,185,2,1,5,6,3,34,26691
11,177252,3,421,0,1,4,4,2,20,25586
22,463214,3,363,2,1,2,8,3,23,1632
28,740051,4,414,2,0,3,7,5,16,1000
5,126976,2,244,1,1,5,5,1,30,32015
33,514028,4,452,2,0,3,4,3,16,1000
32,544659,4,401,2,1,3,5,3,23,1000
18,596832,4,400,1,0,5,4,0,20,1000
23,694397,4,410,2,1,3,4,5,22,1000
10,177922,3,335,0,0,5,4,4,29,20105
6,169376,4,434,2,1,2,2,1,17,37558
12,413625,4,494,1,1,3,7,1,19,26720
31,465258,5,492,0,1,3,6,5,17,1000
9,241321,4,469,1,0,3,9,5,24,34967
15,393643,4,428,0,0,2,6,1,21,16939
13,423163,5,500,0,0,3,5,5,15,15557
22,817709,4,483,2,1,4,6,1,19,1000
9,208192,5,500,1,0,5,7,0,15,42491
10,220066,5,489,1,1,2,8,5,14,35677
0,0,5,500,0,0,4,5,2,17,59142
3,88928,2,158,2,1,4,4,3,32,29470
23,320659,4,438,0,1,2,4,4,16,1130
16,234236,4,391,2,0,2,7,2,19,23470
19,765693,4,423,1,1,5,7,5,19,1000
21,458209,2,254,2,1,2,8,0,28,2209
34,740620,3,371,2,1,5,7,2,25,1000
20,560399,3,319,2,0,5,3,3,23,1000
32,785875,4,431,2,0,3,5,4,18,1000
0,0,5,500,2,1,4,5,1,15,62787
0,0,2,182,0,1,3,6,3,32,41734
28,669888,4,500,2,1,5,5,1,19,1000
4,89612,5,500,0,0,4,2,5,15,39583
30,840247,4,453,1,0,2,7,1,17,1000
8,148101,3,428,1,1,2,9,4,23,40966
28,866276,4,450,1,1,5,8,1,20,1000
12,349313,4,427,0,0,2,4,3,22,16014
15,325634,5,500,2,1,5,5,4,13,19740
28,936191,5,500,0,0,2,6,2,16,1000
23,863546,2,183,1,1,4,6,3,31,1000
29,791682,3,424,1,1,3,6,0,20,1000
1,34014,2,274,1,0,3,7,3,27,45167
16,393931,2,216,2,1,5,2,5,29,1000
24,566068,2,239,0,0,5,9,2,31,1000
14,204127,4,480,0,0,3,5,4,19,23641
12,256513,3,332,1,0,4,3,0,20,18987
18,367197,3,361,1,1,3,5,0,24,10468
9,194172,3,398,2,1,3,6,3,23,31540
3,94641,4,486,0,1,2,6,4,18,47296
28,976796,3,393,0,1,4,6,3,19,1000
3,62342,2,271,2,0,5,6,5,29,35660
3,71900,1,189,1,0,3,5,1,34,35056
9,294764,1,174,1,1,3,3,3,33,8271
8,84015,4,398,2,1,3,6,1,25,44620
10,444038,2,326,2,0,4,1,0,25,7094
1,13604,5,500,2,1,4,7,1,18,65973
22,569764,2,211,0,1,5,7,4,31,1000
30,862329,4,448,2,0,3,5,5,18,1000
24,756946,1,125,0,1,2,2,4,34,1000
15,482849,4,418,0,1,3,7,1,21,14866
1,19166,3,356,2,1,3,7,1,22,55867
28,953715,4,395,0,0,3,7,4,19,1000
1,17711,4,337,2,0,2,3,4,25,44225
29,712896,3,306,0,1,3,4,2,20,1000
34,775223,4,424,2,1,3,7,5,20,1000
3,108490,4,396,2,0,5,6,2,18,47254
16,472856,3,330,0,1,4,6,4,26,1000
21,326540,4,452,1,1,4,5,3,20,8422
33,869510,1,153,2,0,3,5,3,31,1000
24,552412,1,111,2,1,2,9,0,37,1000
10,221517,2,287,2,0,2,3,0,25,21030
3,74370,4,500,1,1,2,4,5,19,44012
17,429919,2,300,1,1,5,7,4,23,1000
27,733268,2,216,1,0,5,5,4,30,1000
29,552777,2,280,2,0,3,6,3,32,1000
4,139785,5,464,2,0,4,6,3,18,47696
10,138318,2,193,1,0,3,2,5,31,9103
1,29190,3,412,0,1,5,7,1,23,54821
4,115597,5,500,2,1,4,5,5,17,46465
31,779834,3,354,2,1,3,3,3,26,1000
18,463178,3,329,0,1,5,6,5,25,1000
10,310462,2,235,2,0,4,4,3,34,10994
24,592885,3,245,2,1,3,5,1,27,1000
24,511602,1,169,0,1,3,3,3,31,1000
9,340915,5,500,2,0,2,6,0,19,37031
18,741851,2,346,2,1,3,8,0,28,1000
25,696947,5,461,2,1,5,7,2,14,1000
9,217663,5,500,2,0,4,3,2,18,33610
28,549894,4,448,2,1,3,6,0,19,1000
7,150693,2,237,1,0,5,5,2,32,26629
6,204382,3,336,1,1,2,5,3,27,31520
12,169846,2,186,1,0,3,7,3,33,17937
22,592327,1,170,0,0,3,4,5,34,1000
27,854498,5,500,1,0,2,2,5,16,1000
1,38590,4,456,1,1,5,4,2,16,53190
13,224232,2,217,1,1,2,2,2,28,7923
6,120857,3,456,0,1,3,8,5,19,40499
34,957098,2,287,2,0,2,10,4,27,1000
6,174796,1,181,0,0,3,7,0,31,28479
16,495415,3,324,1,0,4,6,2,24,3027
2,51152,4,441,2,1,2,4,5,19,45855
7,290848,3,366,0,1,3,3,0,22,25948
19,447028,1,208,2,0,2,4,0,32,1000
31,877475,2,257,2,1,2,6,1,28,1000
13,243212,5,500,0,0,4,9,3,14,34355
21,446944,4,454,1,0,2,6,3,19,3484
28,897481,2,273,0,1,3,4,1,31,1000
27,815753,2,254,0,1,4,3,1,30,1000
9,317766,3,316,2,0,4,5,5,24,15357
13,364772,4,500,0,0,3,5,5,20,16700
20,858079,3,358,0,0,5,5,4,24,1000
17,249145,4,433,0,1,4,5,5,19,14022
22,760776,3,249,0,0,4,3,4,26,1000
8,144549,4,441,2,0,3,4,2,20,36560
2,71756,2,231,2,1,2,6,0,28,45553
29,519286,2,310,2,0,4,6,4,30,1000
2,32609,4,441,1,1,3,6,5,18,51176
31,780289,5,473,1,0,3,3,0,18,1000
1,27833,3,396,2,0,3,6,0,21,56386
16,343338,2,259,2,1,4,4,4,31,1000
30,680685,2,302,0,0,4,4,0,24,1000
4,171045,1,130,2,0,5,3,1,35,23189
26,558773,3,335,2,0,5,5,3,23,1000
20,529080,1,181,1,1,3,4,0,36,1000
25,781228,3,360,2,0,3,3,2,25,1000
15,312552,2,290,0,0,3,7,2,27,10544
26,997988,5,500,0,0,4,6,2,15,1000
